,0
"""UNITED KINGDOM,COVENTRY,CV6 4AD""
","52.4343513,-1.5062508"
"""ITALY,LECCO,23900""
","45.8565698,9.3976704"
"""BELGIUM,EVERGEM,9940""
","51.141145,3.7264042"
"""CZECH REPUBLIC,PRAHA 4 - HAJE,149 00""
","50.0362242,14.5280003"
"""GERMANY,SCHROBENHAUSEN,86529""
","48.5629444,11.2322974"
"""ITALY,BAGNOLO MELLA,25021""
","45.4296229,10.1860514"
"""ITALY,PASSIRANO,25050""
","45.5996034,10.0627657"
"""ITALY,BRESCIA,25100""
","45.5325298,10.2129212"
"""ITALY,SAN GIORGIO CANAVESE,10090""
","45.3357725,7.7952323"
"""ITALY,CARIGNANO,10041""
","44.9059457,7.6774514"
"""NETHERLANDS,SLIEDRECHT,3361 GN""
","51.8256535,4.7367509"
"""GERMANY,LANGENAU,89129""
","48.4972762,10.1224468"
"""ITALY,RIVARA,10080""
","45.3336001,7.6237098"
"""NETHERLANDS,NL SCHIPHOL- RIJK,1119""
","52.2843124,4.7576139"
"""FRANCE,TREFFORT,1370""
","44.9484102,5.7183424"
"""ITALY,RIVARA CANAVESE,10080""
","45.3333961,7.6275547"
"""ITALY,ODERZO,31046""
","45.7797646,12.4973111"
"""FRANCE,BELIN-BELIET,33830""
","44.493639,-0.791675"
"""FRANCE,ST PIERRE DE VARENGEVILLE,76480""
","49.504435,0.93151"
"""TURKEY,ANKARA,6930""
","40.7569781,29.9982059"
"""GERMANY,DORTMUND,44319""
","51.5375268,7.6020834"
"""ITALY,FROSSASCO,10060""
","44.9338906,7.3511099"
"""GERMANY,BIELEFELD,33649""
","51.977755,8.4602772"
"""NETHERLANDS,ETTEN LEUR,4879 NB""
","51.561193,4.6016338"
"""FRANCE,CORMELLES LE ROYAL,14123""
","49.154862,-0.332445"
"""GERMANY,BONN,53229""
","50.7454941,7.1648955"
"""ITALY,CHIETI SCALO,66100""
","42.363681,14.140702"
"""GERMANY,BADEN-BADEN,76532""
","48.7995549,8.209163"
"""GERMANY,BINGEN,55411""
","49.9437022,7.9225329"
"""UNITED KINGDOM,ASHFORD,TN23 1EL""
","51.1491951,0.8540013"
"""SLOVENIA,SEMPETER PRI GORICI,5290""
","45.9283576,13.6400285"
"""ITALY,TERAMO,64100""
","42.6611431,13.6986639"
"""CZECH REPUBLIC,KLASTEREC NAD OHRI,431 51""
","50.3844613,13.1712929"
"""UNITED KINGDOM,LINCOLN,LN6 7AF""
","53.2257099,-0.5526077"
"""UNITED KINGDOM,BIRMINGHAM,B24 8TA""
","52.5077128,-1.8456833"
"""GERMANY,BLOMESCHE WILDNIS,25348""
","53.8056201,9.4508172"
"""GERMANY,SAINT WENDEL,66606""
","49.4491481,7.1621763"
"""CZECH REPUBLIC,ROZNOV POD RADHOSTEM,756 61""
","49.4585261,18.1430308"
"""BELGIUM,RUDDERVOORDE,8020""
","51.095941,3.2065193"
"""ITALY,PERO,20016""
","45.5101398,9.08468"
"""GERMANY,ALPEN,46519""
","51.5996924,6.4805701"
"""FRANCE,ANNONAY,7104""
","45.2129899,4.3490434"
"""FRANCE,SAINT OUEN L'AUMONE,95310""
","49.0469775,2.1288621"
"""TURKEY,TUZLA,34956""
","40.8982305,29.3598782"
"""ITALY,VEDUGGIO CON COLZANO,20050""
","45.7347031,9.2698629"
"""SPAIN,MOTILLA,16200""
","39.560102,-1.9119386"
"""BELGIUM,KACHTEM,8870""
","50.9318824,3.1924033"
"""UNITED KINGDOM,EXETER,EX5 2DX""
","50.7424459,-3.4233304"
"""ITALY,MOLINETTO DI MAZZANO,25080""
","45.504138,10.3632169"
"""ITALY,S GILLIO,10040""
","45.142067,7.5317472"
"""TURKEY,MALTEPE,""
","40.9498022,29.1739513"
"""GERMANY,OBERBOIHINGEN,72644""
","48.6480295,9.366719"
"""FRANCE,MAROLLES,51300""
","48.720344,4.62325"
"""GERMANY,HOF,95030""
","50.31651,11.8687211"
"""ITALY,SAN BENIGNO CANAVESE,10080""
","45.232281,7.7760903"
"""ITALY,LEMIGNANO DI COLLECCHIO,43044""
","44.7706482,10.2613523"
"""FRANCE,CHEVILLY,45520""
","48.029027,1.874334"
"""GERMANY,HAMBURG,22045""
","53.5853131,10.1260105"
"""TURKEY,ESKISEHIR,26550""
","39.8280355,30.3089541"
"""ITALY,COLOGNE,25033""
","45.5774872,9.9390689"
"""UNITED KINGDOM,LINCOLN,LN5 9RT""
","53.1641474,-0.5429223"
"""UNITED KINGDOM,OXFORD,OX5 1HX""
","51.8302658,-1.3050908"
"""ITALY,SCANZOROSCIATE,24020""
","45.7099321,9.7388449"
"""FRANCE,SAINT VICTOR,3410""
","44.051249,2.8299679"
"""ITALY,TORINO,10137""
","45.0382378,7.6201529"
"""ITALY,STORO,38089""
","45.8482451,10.5790256"
"""ITALY,CODISOTTO DI LUZZARA,42045""
","44.983634,10.7300508"
"""ITALY,SPECCHIA,73040""
","39.9411672,18.2999958"
"""ITALY,CADELBOSCO SOPRA,42023""
","44.7624058,10.6003865"
"""GERMANY,DETTINGEN AN DER ERMS,72581""
","48.5306773,9.3451361"
"""FRANCE,SAINT BRICE EN COGLES,35460""
","48.411428,-1.365536"
"""GERMANY,OEHRINGEN,74613""
","49.2067155,9.5200572"
"""FRANCE,BOULIEU-LES-ANNONAY,7100""
","45.2638269,4.6685401"
"""FRANCE,ARNAS,69400""
","46.024607,4.706269"
"""UNITED KINGDOM,COULSDON,CR5 2HT""
","51.3197051,-0.1340423"
"""GERMANY,RASTATT,76437""
","48.862603,8.1769679"
"""BELGIUM,JABBEKE,8490""
","51.1908146,3.0994984"
"""ITALY,CRESPELLANO,40010""
","44.5115181,11.1284822"
"""FRANCE,COLMAR,68000""
","48.0927988,7.3704603"
"""GERMANY,SCHWERTE,58239""
","51.4289295,7.5656315"
"""FRANCE,SAINT DIZIER,52100""
","48.637692,4.947418"
"""UNITED KINGDOM,EXETER,EX5 2UL""
","50.7296637,-3.4087593"
"""UNITED KINGDOM,BURGESS HILL,RH159TN""
","50.9567383,-0.132309"
"""ITALY,PORDENONE,33170""
","45.9626398,12.6551362"
"""CZECH REPUBLIC,KUNOVICE,606 04""
","49.0449876,17.4701145"
"""GERMANY,MUELHEIM,45468""
","51.4262774,6.8826847"
"""BELGIUM,GULLEGEM,8560""
","50.8447689,3.1989718"
"""GERMANY,SCHORNDORF,73614""
","48.778341,9.5310295"
"""CHINA,DONGGUAN,523935""
","22.7694718,113.7064467"
"""ITALY,INVERIGO,22044""
","45.7355963,9.2307393"
"""POLAND,BIELSKO-BIALA,43-300""
","49.8223768,19.0583845"
"""FRANCE,ROULLOURS,14500""
","48.832255,-0.83744"
"""ITALY,ANZANO DEL PARCO,22040""
","45.7697037,9.1976091"
"""ITALY,MONTECCHIO EMILIA,42027""
","44.6984016,10.4485047"
"""ITALY,CADRIANO DI GRANAROLO,40057""
","44.5500241,11.3938352"
"""ITALY,CALDAROLA,62020""
","43.1397867,13.2247461"
"""ITALY,OTTAVIANO,80044""
","40.8388939,14.4781532"
"""ITALY,TREPUZZI,73019""
","40.4043909,18.0715923"
"""UNITED KINGDOM,WELLINGBOROUGH,NN8 6AQ""
","52.3061531,-0.7372881"
"""HUNGARY,PESCELY-UNGARN,8245""
","46.0743913,18.2365326"
"""ITALY,FARAGERA D'ADDA,24045""
","45.5565185,9.534498"
"""ITALY,GREZZAGO,20056""
","45.5903246,9.4938926"
"""ITALY,SAN CARLO CANAVESE,10070""
","45.2486115,7.6102458"
"""ITALY,SANTENA,10026""
","44.9500682,7.773334"
"""POLAND,SKAWINA,32-050""
","49.9751815,19.8288749"
"""SLOVAKIA,SENEC,903 01""
","48.2170352,17.4061427"
"""ITALY,FIORENZUOLA D'ARDA,29017""
","44.9278495,9.9131456"
"""AUSTRIA,WELS,4601""
","48.155907,14.012839"
"""FRANCE,ST-LEGER SOUS CHOLET,49280""
","47.092058,-0.910353"
"""ITALY,NONANTOLA,41015""
","44.6788747,11.0411597"
"""FRANCE,BREBIERES,62117""
","50.337334,3.022342"
"""GERMANY,ROSENHEIM,83026""
","47.8298923,12.0915279"
"""GERMANY,WIPPERFURTH,51688""
","51.1027282,7.397241"
"""ITALY,ALBAVILLA,22031""
","45.8029324,9.1880262"
"""UNITED KINGDOM,BOSTON,PE21 7FP""
","52.9639411,-0.0198828"
"""FRANCE,COLOMBIER FONTAINE,25260""
","47.454012,6.689133"
"""ITALY,S NICOLO ROTTOFRENO,29010""
","45.0521767,9.6081844"
"""BELGIUM,ZEEBRUGGE,8380""
","51.3135479,3.2124426"
"""GERMANY,KREUZTAL,57223""
","50.9803101,7.9795468"
"""ITALY,PANCALIERI,10060""
","44.8328463,7.5899962"
"""ITALY,BELLUSCO,20040""
","45.6146941,9.4120297"
"""AUSTRIA,DIETACH,4407""
","48.0798676,14.4275304"
"""SPAIN,SANT JUST DESVERN,8960""
","41.3693262,2.0742688"
"""GERMANY,ASCHAFFENBURG,63741""
","49.9951707,9.115508"
"""GERMANY,ÖHRINGEN,74613""
","49.2067155,9.5200572"
"""ITALY,ROMANORE DI BORGOFORTE,46030""
","45.0709507,10.7613861"
"""SPAIN,CADRETE,50420""
","41.5553673,-0.9611608"
"""ITALY,CASTEGNATO,25045""
","45.5635713,10.1152705"
"""AUSTRIA,PURGSTALL,3251""
","48.0575699,15.140182"
"""FRANCE,LA FERTE SAINT AUBIN,45240""
","47.720027,1.941008"
"""UNITED KINGDOM,EASTFIELD SCARBOROUGH,YO11 3UT""
","54.2373904,-0.4186612"
"""UNITED KINGDOM,GATESHEAD,NE11 0JX""
","54.9393807,-1.622113"
"""TURKEY,ISTANBUL,34150""
","41.01212,28.9739006"
"""ITALY,MIGNANO MONTELUNGO,81049""
","41.3934178,13.9851303"
"""GERMANY,AUERBACH,91275""
","49.6918411,11.6287208"
"""POLAND,MAZANCOWICE,43391""
","49.8523997,18.9976855"
"""ITALY,MONTALE,29100""
","43.9352446,11.0100212"
"""FRANCE,BRIEY CEDEX,54153""
","49.2630058,5.9291577"
"""SWEDEN,KVAENUM,535 92""
","58.3060222,13.1057568"
"""ITALY,ROVEREDO IN PIANO,33080""
","46.0102541,12.6198605"
"""ITALY,BEINASCO,10092""
","45.0215757,7.582149"
"""ITALY,CESENA,47522""
","44.1396438,12.2464292"
"""ITALY,GONZAGA,46023""
","44.9525147,10.8227418"
"""GERMANY,GAERTINGEN,71116""
","48.641586,8.9029165"
"""UNITED KINGDOM,IPSWICH SUFFOLK,IP3 9RR""
","52.0292835,1.2110814"
"""GERMANY,KREFELD,47809""
","51.3317165,6.6500224"
"""ITALY,TORINO,10151""
","45.1053146,7.6353317"
"""UNITED KINGDOM,RUNCORN,WA7 3DT""
","53.3280739,-2.6852573"
"""UNITED KINGDOM,TILBURY,RM18 7HY""
","51.463024,0.360498"
"""BELGIUM,KAPELLEN,2950""
","51.3361728,4.4481538"
"""FRANCE,SARCELLES,95500""
","48.988513,2.444237"
"""BELGIUM,OOSTNIEUWKERKE,8840""
","50.9423778,3.0642828"
"""GERMANY,SCHWEINFURT,97424""
","50.0384109,10.2066168"
"""FRANCE,LAGNY LE SEC,60330""
","49.0873758,2.7441499"
"""ITALY,FORNOVO DI TARO,43045""
","44.6729547,10.1114152"
"""GERMANY,ISMANING,85737""
","48.2320646,11.7067787"
"""ITALY,CASTELMAGGIORE,40013""
","44.5751652,11.3637308"
"""UNITED KINGDOM,TORFAEN,NP4 0JJ""
","51.694324,-3.0283833"
"""BELGIUM,AALST,9300""
","50.9373401,4.041093"
"""FRANCE,MISSILLAC,44780""
","47.4774258,-2.1800556"
"""FRANCE,SAINT PIERRE DE VARENGEVI,76480""
","49.504435,0.93151"
"""FRANCE,VALENCE,26000""
","44.933393,4.89236"
"""CZECH REPUBLIC,OTROKOVICE,76502""
","49.207755,17.5296042"
"""ITALY,OSTIGLIA,46035""
","45.0821346,11.1607204"
"""ITALY,CALEPPIO DI SETTALA,20090""
","45.4353801,9.3808294"
"""ITALY,TORRAZZA PIEMONTE,10037""
","45.2157918,7.9715743"
"""SWEDEN,KRISTIANSTAD,291 09""
","56.0059989,14.1045377"
"""GERMANY,STEMWEDE,32351""
","52.4204498,8.4766635"
"""ITALY,PARMA ,43100""
","44.7958653,10.3276243"
"""TURKEY,OVAAKCA BURSA,16335""
","40.3012357,29.066357"
"""ITALY,QUISTELLO,46026""
","45.0024494,11.0100239"
"""UNITED KINGDOM,NEWTON AYCLIFFE,DL5 6EJ""
","54.612348,-1.5802448"
"""FRANCE,LE PLESSIS BELLEVILLE,60330""
","49.100689,2.755865"
"""ITALY,MONTEBELLUNA,31044""
","45.775491,12.0439904"
"""ITALY,PIACENZA,29100""
","45.0589228,9.6587942"
"""GERMANY,HAUSACH,77756""
","48.2831556,8.173212"
"""BELGIUM,HAMME,9220""
","51.090201,4.1402689"
"""TURKEY,TORBALI,35875""
","38.2564741,27.3263893"
"""GERMANY,DILLENBURG,35683""
","50.7445501,8.2799788"
"""GERMANY,WILHELMSHAVEN,26389""
","53.5186109,8.0754004"
"""GERMANY,REMSCHEID,42857""
","51.1677605,7.1621552"
"""UNITED KINGDOM,SOUTH WOODHAM FERRERS,CM3 5UQ""
","51.650998,0.6200823"
"""NETHERLANDS,GOOR,NL-7471 EW""
","52.2427344,6.5795424"
"""IRELAND,TRALEE,-""
","52.2713096,-9.6999325"
"""AUSTRIA,SAINT ANDRAE-WOERDERN,3423""
","48.3324498,16.1993529"
"""GERMANY,KARBEN,61184""
","50.2341967,8.7724716"
"""GERMANY,NEU-ULM,89231""
","48.3735527,10.0102206"
"""FRANCE,JOUE LES TOURS,37304""
","47.3445103,0.6691477"
"""ITALY,TREDOZIO,47019""
","44.0861225,11.748412"
"""GERMANY,WERDOHL,58791""
","51.2475193,7.7588258"
"""ITALY,LOCALITÀ INCORONATA,71100""
","41.4235755,15.0463599"
"""AUSTRIA,KRONSTORF,4484""
","48.1420604,14.4642306"
"""ITALY,GESSATE,20062""
","45.5452872,9.4366251"
"""GERMANY,MECKENHEIM,53340""
","50.6258878,7.0319507"
"""GERMANY,ERGERSHEIM,91465""
","49.5107372,10.3279599"
"""ITALY,ROMANO DI LOMBARDIA,24058""
","45.5210652,9.7550117"
"""ITALY,ALMISANO,36045""
","45.4198887,11.3729411"
"""POLAND,SLUPSK,76-200""
","54.464148,17.0284824"
"""POLAND,STAROGARD GDANSKI,83-200""
","53.9656066,18.4707546"
"""ITALY,BAGNOLO SAN VITO,46031""
","45.0923033,10.8781066"
"""GERMANY,SULZBACH,66280""
","49.3022275,7.0621814"
"""BELGIUM,LANAKEN,3620""
","50.8919602,5.6398572"
"""SPAIN,ALCALA DE HENARES,28806""
","40.5134295,-3.4094629"
"""ITALY,MILANO,20052""
","45.5765397,9.5323852"
"""ITALY,BOSISIO PARINI,23842""
","45.7970313,9.2978583"
"""ITALY,CERRO AL LAMBRO,20077""
","45.3544488,9.3254568"
"""FRANCE,VRIGNE AUX BOIS,8330""
","49.7610942,4.837834"
"""BELGIUM,ARDOOIE,8850""
","50.979065,3.1988027"
"""GERMANY,ESSEN,45143""
","51.4627921,6.9787572"
"""GERMANY,HALLE,33790""
","52.03598,8.3172114"
"""SPAIN,ALBACETE,2140""
","38.5744522,-2.6283866"
"""ITALY,BIBBIANO,42021""
","44.6641641,10.4735892"
"""GERMANY,UNNA,59425""
","51.5521918,7.7013158"
"""ITALY,CUORGNE,10082""
","45.391341,7.650233"
"""ITALY,CAMPIGLIONE FENILE,10060""
","44.8072623,7.3244654"
"""FRANCE,LORETTE,42420""
","45.508725,4.581694"
"""GERMANY,LUCKENWALDE,14943""
","52.0818855,13.177061"
"""ITALY,PARATICO,25030""
","45.662001,9.9565226"
